,streams (int),speechiness_%,instrumentalness_%,liveness_%,acousticness_%,energy_%,valence_%,danceability_%,bpm,in_spotify_charts,in_spotify_playlists,artist_count,artist(s)_name,mode
312,67070410.0,4,4,19,18,66,42,72,100,0,596,1,['Melanie Martinez'],Major
313,116334601.0,7,0,11,26,79,76,70,142,6,320,2,"['Fuerza Regida', 'Chino Pacas']",Minor
314,433356509.0,7,0,12,72,37,18,64,140,4,2612,1,['Taylor Swift'],Major
315,165584767.0,4,0,9,62,73,96,90,116,4,2040,1,['Mae Stephens'],Major
316,367814306.0,3,0,61,25,85,64,73,120,9,2128,1,['Morgan Wallen'],Major
317,477033549.0,6,0,7,31,79,46,76,92,37,2598,2,"['Feid', 'Mora']",Minor
318,156214700.0,3,0,31,5,79,64,81,110,2,542,1,['Kenia OS'],Minor
319,448843705.0,11,0,13,1,97,57,71,120,20,2459,1,['Kordhell'],Major
320,1357608774.0,6,0,56,9,61,40,63,80,17,10624,2,"['Coolio', 'L.V.']",Major
321,294352144.0,31,0,9,47,69,43,95,115,26,2418,2,"['Karol G', 'Ovy On The Drums']",Minor
322,972164968.0,4,0,13,65,67,46,58,76,7,7536,1,['The Walters'],Major
323,920045682.0,6,0,12,45,78,77,60,172,7,10431,1,['Steve Lacy'],Major
324,2420461338.0,5,0,9,69,56,45,40,99,16,15722,1,['James Arthur'],Major
325,1947371785.0,8,0,14,9,57,12,36,136,4,25744,1,['The Weeknd'],Minor
326,244658767.0,10,35,11,67,14,64,90,150,0,1640,1,['Mac DeMarco'],Minor
327,68216992.0,5,0,10,79,31,41,71,92,0,34,1,['Jack Black'],Minor
328,223582566.0,5,0,7,17,87,72,77,95,16,1845,5,"['Duki', 'NICKI NICOLE', 'Cris Mj', 'Standly', 'Stars Music Chile']",Major
329,471819764.0,5,0,10,21,83,58,83,102,30,3301,3,"['Brray', 'Rauw Alejandro', 'Lyanno']",Minor
330,272377463.0,6,0,16,43,55,34,70,145,0,1911,1,['SZA'],Minor
331,1361425037.0,4,0,64,0,86,24,50,110,5,20111,1,['Linkin Park'],Major
332,149778242.0,6,0,38,46,77,30,64,95,0,1529,2,"['Gorillaz', 'Bad Bunny']",Major
333,116599790.0,13,0,9,53,82,81,68,94,2,615,2,"['j-hope', 'J. Cole']",Minor
334,148469433.0,3,0,26,0,91,92,61,142,4,811,1,['Morgan Wallen'],Major
335,497225336.0,5,0,15,1,74,20,59,145,10,5730,2,"['Robin Schulz', 'Oliver Tree']",Minor
336,88791109.0,3,0,36,0,80,67,64,121,4,356,1,['Morgan Wallen'],Minor
337,125917280.0,3,0,12,49,76,43,66,140,6,604,1,['Morgan Wallen'],Minor
338,105062254.0,6,0,11,8,67,44,84,137,0,1190,3,"['Don Toliver', 'Future', 'Justin Bieber']",Minor
339,95623148.0,3,0,15,0,85,72,56,104,0,579,1,['Morgan Wallen'],Major
340,144584800.0,3,0,33,7,76,68,57,92,2,1553,1,['Niall Horan'],Major
341,298063749.0,38,0,21,86,45,51,74,146,20,2301,1,['Central Cee'],Minor
342,166570053.0,4,0,12,89,43,20,56,120,4,134,1,['Mahalini'],Major
343,83021468.0,4,0,8,9,81,83,68,144,0,430,1,['Morgan Wallen'],Major
344,139836056.0,3,0,6,80,56,44,59,94,0,86,2,"['Arijit Singh', 'Sachin-Jigar']",Major
345,303216294.0,6,2,11,5,79,65,73,94,14,629,1,['ThxSoMch'],Major
346,221409663.0,5,0,11,8,74,66,79,113,15,1701,2,"['Myke Towers', 'Quevedo']",Minor
347,58890931.0,3,0,12,12,76,49,50,148,0,329,2,"['Morgan Wallen', 'Eric Church']",Major
348,81419389.0,26,0,11,12,73,29,70,98,0,1168,1,['Nicki Minaj'],Major
349,156777415.0,4,0,10,91,38,26,58,140,6,162,1,['Kaifi Khalil'],Major
350,284908316.0,3,0,18,81,28,28,36,100,6,2536,1,['SZA'],Major
351,93438910.0,29,0,11,39,79,68,86,140,11,387,2,"['Karol G', 'Quevedo']",Major
